Arctic						北极
Eurasian					欧亚的
Goliath				巨人
Halloween				万圣节前夕
Ireland						爱尔兰
Labor Day				劳动节
November						十一月
Rhine						莱茵河
Riyue Bay								日月湾
Saharan					撒哈拉沙漠的
The Guardian				卫报
Wall Street			华尔街
a concrete noun					具体名词
a diet of					大量单一的东西
a fourth						四分之一
a good harvest					丰收
a range of				一大片，一排
a relative pronoun				关系代词
a screen role					电影角色
a two-track tape				双声道磁带
a world of		大量的
abandon			放弃
abruptly							突然的，陡峭的
absent							缺席的，缺乏的
absorb						吸收，掌握，吸引，吞并
abstinent		节制的
abstract						抽象的，抽象，提取
abundant				大量的
abuse					虐待，滥用，辱骂
academic						学业的
academic						学业的
academy									研究院
accelerate						加速
access					入口，享用机会，进入，存取
access				入口，享用机会，进入，存取
accessible						容易到达的，易获得的
accommodate							容纳，关照
accompany						陪同，伴随，伴奏
accomplish						完成，达到
accordingly			因此，相应的
account for				占
accumulate					积累
accurate						准确的
accusation				指控
accuse					指责，指控
accustom						使某人习惯于某事
achieve					达到，实现，取得
acknowledge					承认，认可，感谢
acquaintance			相识的人，结识
acquire					获得，习得
acre					英亩，大量
across				横穿过，在...对面
activity			活跃，活动
acute							极度的，急性的，敏锐的，锐角的
adapt							调整...以适用
adaptable					有适应能力的，可改编的
add to					增加
addict				对...入迷的人
addiction							瘾
additional						额外的
address					地址，演说，称呼
address oneself				致力于某事
adequate				足够的，适当的，能胜任的
administration						管理，执行，政府
administrative				行政的
admiration					敬佩
admire							羡慕，欣赏
admission						准许进入，承认
admission			准许进入，承认
admit					承认，准许...进入，容许
admittedly			诚然
adolescence			青春期
adulthood			成年
advance						前进，上涨，提前，预支
advance payment					预付款
advanced						高级的，先进的，晚期的
advancement					发展，晋升
advantage						有利条件
adverse			不利的
adversity							逆境，灾难
advice						劝告，意见，通知
advisory							顾问的，建议性的
advocate					支持，拥护者
advocate			支持，拥护者
affect				影响，打动，侵袭
affectionate					有爱心的，亲昵的
affirm				断言，申明
affirmation						肯定
afford						支付得起，提供
affordable					买得起的
affront				侮辱
after all				毕竟
agency					代理机构，介入，作用
agent					代理人，特工，动因
aggression			侵犯
aggressive						好斗的，挑衅的，积极强硬的
agonizing			使人极度痛苦的
agreement			同意，协议
agricultural					农业的
aid							帮助，救助
airfare				飞机票价
album							册子
alcohol						酒
alcohol		酒
alcoholic		含酒精的
alert						警惕的，警戒，提醒
algorithm			算法
alienate		使某人感到被孤立
alike						相同的，相似的
all rights reserved			版权所有
allegation				指责，指控
alleviate						减轻
along					向前，一起，沿着，到
alter							改变
alternative				可供替代的，非传统的，选择
alternative				可供替代的，非传统的，选择
altitude						海拔，纬度
amateur					业余爱好者
amaze							使大为惊奇
ambitious						有志向的
amiss						出差错的
among					在...中
amount					数量，金额
amusing						逗...笑，给...提供消遣
analysis			分析
analyze						分析，解读
ancestral						祖先的
ancient						古代的，年老的
ancient				古代的，年老的
announce							宣布，介绍
announce						宣布，介绍
annoy							惹恼，打搅
annual					每年的
annual				每年的
annually						每年
annually			每年
anticipate						预料，期望，是先驱
antique							古董
anxiety				焦虑
apart					相隔，除外，与众不同的
apartment						公寓套间
appeal						呼吁，上诉，吸引
appealing							有吸引力的，恳求的
appearance						到来，外表，出版，演出
appearing			呈现
appetite						食欲，欲望
applicant						申请人
application				申请，实施，勤奋
apply							申请，适用，应用
apply				申请，适用，应用
appoint						任命，确定
appointment					约会，任命，职位
appreciate						感激，意识到，欣赏，升值
appreciation			感谢，理解，欣赏
approach							接近，接洽，处理，通道
approval								赞同，批准
approval						赞同，批准
approve					批准，赞成
approximately					大约
architect						设计师
archive					档案，存档
archive				档案，存档
argue				争论，主张
argument			争论，理由
around		存在着的
arrange						整理，排列，安排，达成
array					系列，数组，服装，排列
arrest						逮捕，阻止，吸引
as anticipated					正如所料
as of				在...时
ashamed						惭愧的
aside				向旁边，旁白
aside from			除...之外
aspect				部分，方面
assault					袭击，冲击
assemble						召集，收集，装配
assembly							人群，集会，立法机构
assess				估算，评价
asset							资产，优势
assign						分配，指派，确定
assignment				任务，作业，分配
assistance						帮助
associate					把...联系起来
associate		把...联系起来
association			协会，联合
assume						假定，获得，装出，呈现
assumption						假定，获得，承担
astonish				使大为惊奇
astronomer					天文学家
astronomy				天文学
at a conservative estimate			保守估计
at bay						陷入绝境
at play			某种因素在大格局里起作用
at the expense	以...为代价
atmosphere						大气，空气，气氛
attempt						企图
attendance						出席人数，就诊
attendance						出席人数，就诊
attorney				代理人
attract							吸引
attribute							把某事物归因于...，属性
auspicious			吉利的
authoritative				专断的，权威性的
authority				权力，权威
automatic				自动的，无意识的，必然的，自动挡
avail							收益
available						可获得的，有空的，单身的
average						一般水平，平均的，普通的
aviate						飞行员
aviation						航空
avoid							避免，避开
award						奖，授予，判给
awareness					意识
awareness				意识
awe					敬畏
awful								坏的，可怕的，生病的，极其
background						背景，不显著的位置
background					背景，不显著的位置
backslide						故态复萌的人
backward						向后的，倒退的，落后的，犹豫的
bacteria							细菌
bakery							面包店
bald					秃的，不加掩饰的
balmy									温暖惬意的
ban							明令禁止，禁令
ban				明令禁止，禁令
band						乐队，波段，带状物，戒指，分类
banish						驱逐
bankrupt							破产的，完全缺乏的
barely						仅仅，几乎不
barely				仅仅，几乎不
bargain						协议，便宜货，讲条件
bark						树皮，吠叫
barn						谷仓，牛栏
barrier					障碍
basin						盆地，流域
battle					战斗，斗争
behave							表现
belt				腰带，地带
beneficial						有益的，受益的
benefit						益处，获益
benefit			益处，获益
bespeak				证明，预定
bet				赌
beverage		饮料
bias				偏见，倾向
bid							出价，争取，表达，命令
bilateral			双边的
billion					十亿
